variant,curve,x,y
with_ttl,precision_recall,1.000000,0.541443
with_ttl,precision_recall,1.000000,0.541449
with_ttl,precision_recall,1.000000,0.541456
with_ttl,precision_recall,1.000000,0.541463
with_ttl,precision_recall,1.000000,0.541470
with_ttl,precision_recall,1.000000,0.541477
with_ttl,precision_recall,1.000000,0.541484
with_ttl,precision_recall,1.000000,0.541491
with_ttl,precision_recall,1.000000,0.541498
with_ttl,precision_recall,1.000000,0.541512
with_ttl,precision_recall,1.000000,0.541519
with_ttl,precision_recall,1.000000,0.541540
with_ttl,precision_recall,1.000000,0.541547
with_ttl,precision_recall,1.000000,0.541554
with_ttl,precision_recall,1.000000,0.541560
with_ttl,precision_recall,1.000000,0.541567
with_ttl,precision_recall,1.000000,0.541602
with_ttl,precision_recall,1.000000,0.541609
with_ttl,precision_recall,1.000000,0.541616
with_ttl,precision_recall,1.000000,0.541644
with_ttl,precision_recall,1.000000,0.541665
with_ttl,precision_recall,1.000000,0.541671
with_ttl,precision_recall,1.000000,0.541678
with_ttl,precision_recall,1.000000,0.541685
with_ttl,precision_recall,1.000000,0.541692
with_ttl,precision_recall,1.000000,0.541699
with_ttl,precision_recall,1.000000,0.541706
with_ttl,precision_recall,1.000000,0.541727
with_ttl,precision_recall,1.000000,0.541734
with_ttl,precision_recall,1.000000,0.541741
with_ttl,precision_recall,1.000000,0.541748
with_ttl,precision_recall,1.000000,0.541755
with_ttl,precision_recall,1.000000,0.541769
with_ttl,precision_recall,1.000000,0.541776
with_ttl,precision_recall,1.000000,0.541783
with_ttl,precision_recall,1.000000,0.541789
with_ttl,precision_recall,1.000000,0.541796
with_ttl,precision_recall,1.000000,0.541803
with_ttl,precision_recall,1.000000,0.541810
with_ttl,precision_recall,1.000000,0.541817
with_ttl,precision_recall,1.000000,0.541824
with_ttl,precision_recall,1.000000,0.541831
with_ttl,precision_recall,1.000000,0.541838
with_ttl,precision_recall,1.000000,0.541845
with_ttl,precision_recall,1.000000,0.541866
with_ttl,precision_recall,1.000000,0.541873
with_ttl,precision_recall,1.000000,0.541880
with_ttl,precision_recall,1.000000,0.541887
with_ttl,precision_recall,1.000000,0.541894
with_ttl,precision_recall,1.000000,0.541908
with_ttl,precision_recall,1.000000,0.541914
with_ttl,precision_recall,1.000000,0.541942
with_ttl,precision_recall,1.000000,0.541949
with_ttl,precision_recall,1.000000,0.541956
with_ttl,precision_recall,1.000000,0.541963
with_ttl,precision_recall,1.000000,0.541970
with_ttl,precision_recall,1.000000,0.541977
with_ttl,precision_recall,1.000000,0.541991
with_ttl,precision_recall,1.000000,0.542005
with_ttl,precision_recall,1.000000,0.542012
with_ttl,precision_recall,1.000000,0.542019
with_ttl,precision_recall,1.000000,0.542026
with_ttl,precision_recall,1.000000,0.542033
with_ttl,precision_recall,1.000000,0.542046
with_ttl,precision_recall,1.000000,0.542053
with_ttl,precision_recall,1.000000,0.542095
with_ttl,precision_recall,1.000000,0.542102
with_ttl,precision_recall,1.000000,0.542109
with_ttl,precision_recall,1.000000,0.542116
with_ttl,precision_recall,1.000000,0.542130
with_ttl,precision_recall,1.000000,0.542137
with_ttl,precision_recall,1.000000,0.542158
with_ttl,precision_recall,1.000000,0.542165
with_ttl,precision_recall,1.000000,0.542172
with_ttl,precision_recall,1.000000,0.542179
with_ttl,precision_recall,1.000000,0.542186
with_ttl,precision_recall,1.000000,0.542192
with_ttl,precision_recall,1.000000,0.542199
with_ttl,precision_recall,1.000000,0.542206
with_ttl,precision_recall,1.000000,0.542213
with_ttl,precision_recall,1.000000,0.542220
with_ttl,precision_recall,1.000000,0.542227
with_ttl,precision_recall,1.000000,0.542234
with_ttl,precision_recall,1.000000,0.542241
with_ttl,precision_recall,1.000000,0.542248
with_ttl,precision_recall,1.000000,0.542255
with_ttl,precision_recall,1.000000,0.542262
with_ttl,precision_recall,1.000000,0.542269
with_ttl,precision_recall,1.000000,0.542276
with_ttl,precision_recall,1.000000,0.542283
with_ttl,precision_recall,1.000000,0.542290
with_ttl,precision_recall,1.000000,0.542297
with_ttl,precision_recall,1.000000,0.542304
with_ttl,precision_recall,1.000000,0.542311
with_ttl,precision_recall,1.000000,0.542318
with_ttl,precision_recall,1.000000,0.542325
with_ttl,precision_recall,1.000000,0.542345
with_ttl,precision_recall,1.000000,0.542352
with_ttl,precision_recall,1.000000,0.542359
with_ttl,precision_recall,1.000000,0.542366
with_ttl,precision_recall,1.000000,0.542373
with_ttl,precision_recall,1.000000,0.542380
with_ttl,precision_recall,1.000000,0.542401
with_ttl,precision_recall,1.000000,0.542408
with_ttl,precision_recall,1.000000,0.542415
with_ttl,precision_recall,1.000000,0.542422
with_ttl,precision_recall,1.000000,0.542429
with_ttl,precision_recall,1.000000,0.542436
with_ttl,precision_recall,1.000000,0.542443
with_ttl,precision_recall,1.000000,0.542464
with_ttl,precision_recall,1.000000,0.542471
with_ttl,precision_recall,1.000000,0.542485
with_ttl,precision_recall,1.000000,0.542492
with_ttl,precision_recall,1.000000,0.542499
with_ttl,precision_recall,1.000000,0.542506
with_ttl,precision_recall,1.000000,0.542519
with_ttl,precision_recall,1.000000,0.542526
with_ttl,precision_recall,1.000000,0.542533
with_ttl,precision_recall,1.000000,0.542540
with_ttl,precision_recall,1.000000,0.542547
with_ttl,precision_recall,1.000000,0.542561
with_ttl,precision_recall,1.000000,0.542568
with_ttl,precision_recall,1.000000,0.542575
with_ttl,precision_recall,1.000000,0.542582
with_ttl,precision_recall,1.000000,0.542589
with_ttl,precision_recall,1.000000,0.542596
with_ttl,precision_recall,1.000000,0.542617
with_ttl,precision_recall,1.000000,0.542624
with_ttl,precision_recall,1.000000,0.542631
with_ttl,precision_recall,1.000000,0.542638
with_ttl,precision_recall,1.000000,0.542645
with_ttl,precision_recall,1.000000,0.542652
with_ttl,precision_recall,1.000000,0.542666
