true,pred,count,row_share
Analysis,Analysis,147,0.221719
Analysis,Backdoor,220,0.331825
Analysis,DoS,17,0.025641
Analysis,Exploits,59,0.088989
Analysis,Fuzzers,132,0.199095
Analysis,Generic,0,0.000000
Analysis,Normal,19,0.028658
Analysis,Reconnaissance,69,0.104072
Analysis,Shellcode,0,0.000000
Analysis,Worms,0,0.000000
Backdoor,Analysis,144,0.248705
Backdoor,Backdoor,168,0.290155
Backdoor,DoS,8,0.013817
Backdoor,Exploits,31,0.053541
Backdoor,Fuzzers,147,0.253886
Backdoor,Generic,6,0.010363
Backdoor,Normal,1,0.001727
Backdoor,Reconnaissance,71,0.122625
Backdoor,Shellcode,3,0.005181
Backdoor,Worms,0,0.000000
DoS,Analysis,356,0.091587
DoS,Backdoor,1559,0.401081
DoS,DoS,544,0.139954
DoS,Exploits,848,0.218163
DoS,Fuzzers,362,0.093131
DoS,Generic,35,0.009004
DoS,Normal,16,0.004116
DoS,Reconnaissance,125,0.032158
DoS,Shellcode,42,0.010805
DoS,Worms,0,0.000000
Exploits,Analysis,490,0.044733
Exploits,Backdoor,1542,0.140770
Exploits,DoS,240,0.021910
Exploits,Exploits,7533,0.687694
Exploits,Fuzzers,553,0.050484
Exploits,Generic,43,0.003926
Exploits,Normal,102,0.009312
Exploits,Reconnaissance,337,0.030765
Exploits,Shellcode,105,0.009586
Exploits,Worms,9,0.000822
Fuzzers,Analysis,296,0.049186
Fuzzers,Backdoor,422,0.070123
Fuzzers,DoS,32,0.005317
Fuzzers,Exploits,274,0.045530
Fuzzers,Fuzzers,3841,0.638252
Fuzzers,Generic,11,0.001828
Fuzzers,Normal,743,0.123463
Fuzzers,Reconnaissance,145,0.024094
Fuzzers,Shellcode,254,0.042207
Fuzzers,Worms,0,0.000000
Generic,Analysis,11,0.000640
Generic,Backdoor,5,0.000291
Generic,DoS,55,0.003202
Generic,Exploits,371,0.021600
Generic,Fuzzers,42,0.002445
Generic,Generic,16658,0.969842
Generic,Normal,8,0.000466
Generic,Reconnaissance,9,0.000524
Generic,Shellcode,12,0.000699
Generic,Worms,5,0.000291
Normal,Analysis,610,0.017036
Normal,Backdoor,0,0.000000
Normal,DoS,39,0.001089
Normal,Exploits,711,0.019857
Normal,Fuzzers,7390,0.206390
Normal,Generic,5,0.000140
Normal,Normal,26887,0.750908
Normal,Reconnaissance,27,0.000754
Normal,Shellcode,135,0.003770
Normal,Worms,2,0.000056
Reconnaissance,Analysis,29,0.011188
Reconnaissance,Backdoor,192,0.074074
Reconnaissance,DoS,27,0.010417
Reconnaissance,Exploits,302,0.116512
Reconnaissance,Fuzzers,53,0.020448
Reconnaissance,Generic,2,0.000772
Reconnaissance,Normal,10,0.003858
Reconnaissance,Reconnaissance,1944,0.750000
Reconnaissance,Shellcode,31,0.011960
Reconnaissance,Worms,2,0.000772
Shellcode,Analysis,0,0.000000
Shellcode,Backdoor,1,0.002740
Shellcode,DoS,12,0.032877
Shellcode,Exploits,40,0.109589
Shellcode,Fuzzers,36,0.098630
Shellcode,Generic,0,0.000000
Shellcode,Normal,9,0.024658
Shellcode,Reconnaissance,1,0.002740
Shellcode,Shellcode,266,0.728767
Shellcode,Worms,0,0.000000
Worms,Analysis,0,0.000000
Worms,Backdoor,0,0.000000
Worms,DoS,0,0.000000
Worms,Exploits,16,0.363636
Worms,Fuzzers,1,0.022727
Worms,Generic,1,0.022727
Worms,Normal,0,0.000000
Worms,Reconnaissance,0,0.000000
Worms,Shellcode,0,0.000000
Worms,Worms,26,0.590909
