true,pred,count,row_share
Analysis,Analysis,119,0.179487
Analysis,Backdoor,199,0.300151
Analysis,DoS,156,0.235294
Analysis,Exploits,42,0.063348
Analysis,Fuzzers,104,0.156863
Analysis,Generic,0,0.000000
Analysis,Normal,36,0.054299
Analysis,Reconnaissance,7,0.010558
Analysis,Shellcode,0,0.000000
Analysis,Worms,0,0.000000
Backdoor,Analysis,113,0.195164
Backdoor,Backdoor,150,0.259067
Backdoor,DoS,141,0.243523
Backdoor,Exploits,36,0.062176
Backdoor,Fuzzers,121,0.208981
Backdoor,Generic,6,0.010363
Backdoor,Normal,0,0.000000
Backdoor,Reconnaissance,7,0.012090
Backdoor,Shellcode,5,0.008636
Backdoor,Worms,0,0.000000
DoS,Analysis,379,0.097505
DoS,Backdoor,1485,0.382043
DoS,DoS,603,0.155132
DoS,Exploits,935,0.240545
DoS,Fuzzers,340,0.087471
DoS,Generic,30,0.007718
DoS,Normal,20,0.005145
DoS,Reconnaissance,48,0.012349
DoS,Shellcode,47,0.012092
DoS,Worms,0,0.000000
Exploits,Analysis,475,0.043363
Exploits,Backdoor,1525,0.139219
Exploits,DoS,555,0.050666
Exploits,Exploits,7476,0.682490
Exploits,Fuzzers,467,0.042633
Exploits,Generic,41,0.003743
Exploits,Normal,129,0.011777
Exploits,Reconnaissance,185,0.016889
Exploits,Shellcode,91,0.008307
Exploits,Worms,10,0.000913
Fuzzers,Analysis,237,0.039382
Fuzzers,Backdoor,385,0.063975
Fuzzers,DoS,301,0.050017
Fuzzers,Exploits,238,0.039548
Fuzzers,Fuzzers,3703,0.615321
Fuzzers,Generic,11,0.001828
Fuzzers,Normal,909,0.151047
Fuzzers,Reconnaissance,21,0.003490
Fuzzers,Shellcode,213,0.035394
Fuzzers,Worms,0,0.000000
Generic,Analysis,11,0.000640
Generic,Backdoor,7,0.000408
Generic,DoS,27,0.001572
Generic,Exploits,421,0.024511
Generic,Fuzzers,42,0.002445
Generic,Generic,16627,0.968037
Generic,Normal,12,0.000699
Generic,Reconnaissance,6,0.000349
Generic,Shellcode,19,0.001106
Generic,Worms,4,0.000233
Normal,Analysis,565,0.015779
Normal,Backdoor,0,0.000000
Normal,DoS,43,0.001201
Normal,Exploits,731,0.020416
Normal,Fuzzers,7294,0.203709
Normal,Generic,12,0.000335
Normal,Normal,26991,0.753812
Normal,Reconnaissance,24,0.000670
Normal,Shellcode,145,0.004050
Normal,Worms,1,0.000028
Reconnaissance,Analysis,36,0.013889
Reconnaissance,Backdoor,188,0.072531
Reconnaissance,DoS,39,0.015046
Reconnaissance,Exploits,306,0.118056
Reconnaissance,Fuzzers,44,0.016975
Reconnaissance,Generic,1,0.000386
Reconnaissance,Normal,10,0.003858
Reconnaissance,Reconnaissance,1937,0.747299
Reconnaissance,Shellcode,29,0.011188
Reconnaissance,Worms,2,0.000772
Shellcode,Analysis,0,0.000000
Shellcode,Backdoor,0,0.000000
Shellcode,DoS,8,0.021918
Shellcode,Exploits,37,0.101370
Shellcode,Fuzzers,36,0.098630
Shellcode,Generic,0,0.000000
Shellcode,Normal,6,0.016438
Shellcode,Reconnaissance,1,0.002740
Shellcode,Shellcode,277,0.758904
Shellcode,Worms,0,0.000000
Worms,Analysis,0,0.000000
Worms,Backdoor,0,0.000000
Worms,DoS,1,0.022727
Worms,Exploits,23,0.522727
Worms,Fuzzers,1,0.022727
Worms,Generic,1,0.022727
Worms,Normal,0,0.000000
Worms,Reconnaissance,0,0.000000
Worms,Shellcode,0,0.000000
Worms,Worms,18,0.409091
