model,attack_cat,precision,recall,f1,support
dummy,Analysis,0.006061,0.010558,0.007701,663.000000
dummy,Backdoor,0.003824,0.006908,0.004923,579.000000
dummy,DoS,0.049034,0.035246,0.041012,3887.000000
dummy,Exploits,0.138254,0.182125,0.157186,10954.000000
dummy,Fuzzers,0.078067,0.152709,0.103316,6018.000000
dummy,Generic,0.211254,0.037378,0.063517,17176.000000
dummy,Normal,0.456256,0.477574,0.466671,35806.000000
dummy,Reconnaissance,0.033523,0.070602,0.045460,2592.000000
dummy,Shellcode,0.002466,0.005479,0.003401,365.000000
dummy,Worms,0.000000,0.000000,0.000000,44.000000
gaussian_process,Analysis,0.032495,0.126697,0.051724,663.000000
gaussian_process,Backdoor,0.011664,0.044905,0.018519,579.000000
gaussian_process,DoS,0.408081,0.051968,0.092195,3887.000000
gaussian_process,Exploits,0.662640,0.595855,0.627475,10954.000000
gaussian_process,Fuzzers,0.253502,0.613493,0.358760,6018.000000
gaussian_process,Generic,0.992107,0.958663,0.975098,17176.000000
gaussian_process,Normal,0.948898,0.663799,0.781148,35806.000000
gaussian_process,Reconnaissance,0.366002,0.694444,0.479361,2592.000000
gaussian_process,Shellcode,0.139856,0.638356,0.229444,365.000000
gaussian_process,Worms,0.075758,0.227273,0.113636,44.000000
hist_gradient_boosting,Analysis,0.070571,0.221719,0.107065,663.000000
hist_gradient_boosting,Backdoor,0.040886,0.290155,0.071672,579.000000
hist_gradient_boosting,DoS,0.558522,0.139954,0.223822,3887.000000
hist_gradient_boosting,Exploits,0.739617,0.687694,0.712711,10954.000000
hist_gradient_boosting,Fuzzers,0.305885,0.638252,0.413567,6018.000000
hist_gradient_boosting,Generic,0.993855,0.969842,0.981701,17176.000000
hist_gradient_boosting,Normal,0.967332,0.750908,0.845490,35806.000000
hist_gradient_boosting,Reconnaissance,0.712610,0.750000,0.730827,2592.000000
hist_gradient_boosting,Shellcode,0.313679,0.728767,0.438582,365.000000
hist_gradient_boosting,Worms,0.590909,0.590909,0.590909,44.000000
knn,Analysis,0.051620,0.218703,0.083525,663.000000
knn,Backdoor,0.044591,0.210708,0.073605,579.000000
knn,DoS,0.287991,0.130178,0.179305,3887.000000
knn,Exploits,0.676490,0.641227,0.658387,10954.000000
knn,Fuzzers,0.270725,0.526919,0.357679,6018.000000
knn,Generic,0.979983,0.957732,0.968730,17176.000000
knn,Normal,0.936959,0.722672,0.815982,35806.000000
knn,Reconnaissance,0.437710,0.654707,0.524656,2592.000000
knn,Shellcode,0.365039,0.389041,0.376658,365.000000
knn,Worms,0.294118,0.113636,0.163934,44.000000
logistic_regression,Analysis,0.063161,0.766214,0.116701,663.000000
logistic_regression,Backdoor,0.034746,0.157168,0.056911,579.000000
logistic_regression,DoS,0.235228,0.107538,0.147599,3887.000000
logistic_regression,Exploits,0.839390,0.421764,0.561429,10954.000000
logistic_regression,Fuzzers,0.290606,0.620472,0.395823,6018.000000
logistic_regression,Generic,0.991823,0.960410,0.975864,17176.000000
logistic_regression,Normal,0.991605,0.570714,0.724466,35806.000000
logistic_regression,Reconnaissance,0.343421,0.516590,0.412571,2592.000000
logistic_regression,Shellcode,0.074364,0.832877,0.136537,365.000000
logistic_regression,Worms,0.017433,0.818182,0.034139,44.000000
random_forest,Analysis,0.045867,0.259427,0.077952,663.000000
random_forest,Backdoor,0.053999,0.549223,0.098330,579.000000
random_forest,DoS,0.512420,0.143298,0.223965,3887.000000
random_forest,Exploits,0.792629,0.636115,0.705799,10954.000000
random_forest,Fuzzers,0.268004,0.636923,0.377264,6018.000000
random_forest,Generic,0.995821,0.971064,0.983287,17176.000000
random_forest,Normal,0.985035,0.645255,0.779737,35806.000000
random_forest,Reconnaissance,0.853339,0.778935,0.814441,2592.000000
random_forest,Shellcode,0.207279,0.920548,0.338369,365.000000
random_forest,Worms,0.500000,0.840909,0.627119,44.000000
svc,Analysis,0.068971,0.716440,0.125828,663.000000
svc,Backdoor,0.028244,0.165803,0.048265,579.000000
svc,DoS,0.230800,0.149215,0.181250,3887.000000
svc,Exploits,0.790778,0.439931,0.565345,10954.000000
svc,Fuzzers,0.241686,0.591725,0.343196,6018.000000
svc,Generic,0.987724,0.960293,0.973815,17176.000000
svc,Normal,0.994582,0.563900,0.719732,35806.000000
svc,Reconnaissance,0.436679,0.679784,0.531764,2592.000000
svc,Shellcode,0.111070,0.824658,0.195772,365.000000
svc,Worms,0.043539,0.704545,0.082011,44.000000
