model,attack_cat,precision,recall,f1,support
dummy,Analysis,0.006061,0.010558,0.007701,663.000000
dummy,Backdoor,0.003824,0.006908,0.004923,579.000000
dummy,DoS,0.049034,0.035246,0.041012,3887.000000
dummy,Exploits,0.138254,0.182125,0.157186,10954.000000
dummy,Fuzzers,0.078067,0.152709,0.103316,6018.000000
dummy,Generic,0.211254,0.037378,0.063517,17176.000000
dummy,Normal,0.456256,0.477574,0.466671,35806.000000
dummy,Reconnaissance,0.033523,0.070602,0.045460,2592.000000
dummy,Shellcode,0.002466,0.005479,0.003401,365.000000
dummy,Worms,0.000000,0.000000,0.000000,44.000000
gaussian_process,Analysis,0.025630,0.092006,0.040092,663.000000
gaussian_process,Backdoor,0.011944,0.050086,0.019288,579.000000
gaussian_process,DoS,0.421875,0.027785,0.052136,3887.000000
gaussian_process,Exploits,0.648731,0.566825,0.605018,10954.000000
gaussian_process,Fuzzers,0.239989,0.600532,0.342933,6018.000000
gaussian_process,Generic,0.982805,0.958372,0.970435,17176.000000
gaussian_process,Normal,0.939801,0.658800,0.774603,35806.000000
gaussian_process,Reconnaissance,0.379696,0.694059,0.490859,2592.000000
gaussian_process,Shellcode,0.140193,0.638356,0.229896,365.000000
gaussian_process,Worms,0.035461,0.113636,0.054054,44.000000
hist_gradient_boosting,Analysis,0.061499,0.179487,0.091609,663.000000
hist_gradient_boosting,Backdoor,0.038081,0.259067,0.066401,579.000000
hist_gradient_boosting,DoS,0.321772,0.155132,0.209339,3887.000000
hist_gradient_boosting,Exploits,0.729722,0.682490,0.705316,10954.000000
hist_gradient_boosting,Fuzzers,0.304724,0.615321,0.407595,6018.000000
hist_gradient_boosting,Generic,0.993903,0.968037,0.980799,17176.000000
hist_gradient_boosting,Normal,0.960090,0.753812,0.844538,35806.000000
hist_gradient_boosting,Reconnaissance,0.866279,0.747299,0.802403,2592.000000
hist_gradient_boosting,Shellcode,0.335351,0.758904,0.465155,365.000000
hist_gradient_boosting,Worms,0.514286,0.409091,0.455696,44.000000
knn,Analysis,0.062579,0.223228,0.097754,663.000000
knn,Backdoor,0.036159,0.205527,0.061499,579.000000
knn,DoS,0.312772,0.092616,0.142914,3887.000000
knn,Exploits,0.662330,0.622786,0.641950,10954.000000
knn,Fuzzers,0.268560,0.562645,0.363578,6018.000000
knn,Generic,0.985896,0.948242,0.966702,17176.000000
knn,Normal,0.937829,0.711138,0.808901,35806.000000
knn,Reconnaissance,0.402436,0.662809,0.500802,2592.000000
knn,Shellcode,0.341176,0.397260,0.367089,365.000000
knn,Worms,0.000000,0.000000,0.000000,44.000000
logistic_regression,Analysis,0.063021,0.775264,0.116567,663.000000
logistic_regression,Backdoor,0.035505,0.157168,0.057925,579.000000
logistic_regression,DoS,0.231868,0.108567,0.147889,3887.000000
logistic_regression,Exploits,0.828728,0.386069,0.526748,10954.000000
logistic_regression,Fuzzers,0.279368,0.619641,0.385108,6018.000000
logistic_regression,Generic,0.992412,0.959478,0.975668,17176.000000
logistic_regression,Normal,0.996699,0.564989,0.721174,35806.000000
logistic_regression,Reconnaissance,0.361044,0.517747,0.425424,2592.000000
logistic_regression,Shellcode,0.072395,0.835616,0.133246,365.000000
logistic_regression,Worms,0.015480,0.795455,0.030369,44.000000
random_forest,Analysis,0.041264,0.218703,0.069428,663.000000
random_forest,Backdoor,0.056276,0.599309,0.102891,579.000000
random_forest,DoS,0.478053,0.128891,0.203040,3887.000000
random_forest,Exploits,0.782564,0.631824,0.699162,10954.000000
random_forest,Fuzzers,0.269788,0.637753,0.379174,6018.000000
random_forest,Generic,0.995519,0.970191,0.982692,17176.000000
random_forest,Normal,0.985244,0.645199,0.779762,35806.000000
random_forest,Reconnaissance,0.854114,0.777006,0.813737,2592.000000
random_forest,Shellcode,0.202395,0.926027,0.332187,365.000000
random_forest,Worms,0.464789,0.750000,0.573913,44.000000
svc,Analysis,0.057692,0.384615,0.100334,663.000000
svc,Backdoor,0.054593,0.326425,0.093541,579.000000
svc,DoS,0.203912,0.158220,0.178183,3887.000000
svc,Exploits,0.498253,0.507851,0.503006,10954.000000
svc,Fuzzers,0.226177,0.509970,0.313371,6018.000000
svc,Generic,0.958019,0.827725,0.888118,17176.000000
svc,Normal,0.965539,0.606435,0.744970,35806.000000
svc,Reconnaissance,0.542866,0.684028,0.605326,2592.000000
svc,Shellcode,0.170812,0.715068,0.275753,365.000000
svc,Worms,0.066869,0.500000,0.117962,44.000000
