model,variant,phase,elapsed_seconds
hist_gradient_boosting,with_ttl,binary_refit,0.714140
hist_gradient_boosting,without_ttl,binary_refit,0.776438
dummy,with_ttl,final_fit,0.085112
gaussian_process,with_ttl,final_fit,78.741710
hist_gradient_boosting,with_ttl,final_fit,2.726084
knn,with_ttl,final_fit,0.028333
logistic_regression,with_ttl,final_fit,6.242077
random_forest,with_ttl,final_fit,3.261412
svc,with_ttl,final_fit,0.321802
dummy,without_ttl,final_fit,0.218795
gaussian_process,without_ttl,final_fit,73.326692
hist_gradient_boosting,without_ttl,final_fit,13.636278
knn,without_ttl,final_fit,0.048308
logistic_regression,without_ttl,final_fit,13.564987
random_forest,without_ttl,final_fit,5.887921
svc,without_ttl,final_fit,0.749979
hist_gradient_boosting,with_ttl,oof_cv,0.367149
hist_gradient_boosting,without_ttl,oof_cv,0.657469
dummy,with_ttl,search,0.000000
gaussian_process,with_ttl,search,0.000000
hist_gradient_boosting,with_ttl,search,5.769993
knn,with_ttl,search,0.872597
logistic_regression,with_ttl,search,1.802880
random_forest,with_ttl,search,7.557670
svc,with_ttl,search,1.370043
dummy,without_ttl,search,0.000000
gaussian_process,without_ttl,search,0.000000
hist_gradient_boosting,without_ttl,search,5.821987
knn,without_ttl,search,0.769702
logistic_regression,without_ttl,search,1.138766
random_forest,without_ttl,search,8.456856
svc,without_ttl,search,1.376169
