label,available,allocated,proportional,floor_applied,population_share,sample_share,subsample
Analysis,1594,72,30,True,0.014795,0.036000,gp_sub
Backdoor,1535,71,28,True,0.014247,0.035500,gp_sub
DoS,3806,102,71,True,0.035326,0.051000,gp_sub
Exploits,19844,327,368,False,0.184184,0.163500,gp_sub
Fuzzers,16150,275,300,False,0.149898,0.137500,gp_sub
Generic,4181,108,78,True,0.038806,0.054000,gp_sub
Normal,51890,775,963,False,0.481622,0.387500,gp_sub
Reconnaissance,7522,154,140,True,0.069816,0.077000,gp_sub
Shellcode,1091,65,20,True,0.010126,0.032500,gp_sub
Worms,127,51,2,True,0.001179,0.025500,gp_sub
Analysis,1594,331,296,True,0.014795,0.016550,knn_sub
Backdoor,1535,320,285,True,0.014247,0.016000,knn_sub
DoS,3806,733,706,True,0.035326,0.036650,knn_sub
Exploits,19844,3649,3684,False,0.184184,0.182450,knn_sub
Fuzzers,16150,2978,2998,False,0.149898,0.148900,knn_sub
Generic,4181,801,776,True,0.038806,0.040050,knn_sub
Normal,51890,9476,9632,False,0.481622,0.473800,knn_sub
Reconnaissance,7522,1409,1396,True,0.069816,0.070450,knn_sub
Shellcode,1091,239,203,True,0.010126,0.011950,knn_sub
Worms,127,64,24,True,0.001179,0.003200,knn_sub
Analysis,1594,475,444,True,0.014795,0.015833,search_sub
Backdoor,1535,459,427,True,0.014247,0.015300,search_sub
DoS,3806,1083,1060,True,0.035326,0.036100,search_sub
Exploits,19844,5495,5526,False,0.184184,0.183167,search_sub
Fuzzers,16150,4479,4497,False,0.149898,0.149300,search_sub
Generic,4181,1186,1164,True,0.038806,0.039533,search_sub
Normal,51890,14310,14449,False,0.481622,0.477000,search_sub
Reconnaissance,7522,2106,2094,True,0.069816,0.070200,search_sub
Shellcode,1091,336,304,True,0.010126,0.011200,search_sub
Worms,127,71,35,True,0.001179,0.002367,search_sub
Analysis,1594,115,74,True,0.014795,0.023000,svc_sub
Backdoor,1535,112,71,True,0.014247,0.022400,svc_sub
DoS,3806,208,177,True,0.035326,0.041600,svc_sub
Exploits,19844,881,921,False,0.184184,0.176200,svc_sub
Fuzzers,16150,726,749,False,0.149898,0.145200,svc_sub
Generic,4181,223,194,True,0.038806,0.044600,svc_sub
Normal,51890,2225,2408,False,0.481622,0.445000,svc_sub
Reconnaissance,7522,363,349,True,0.069816,0.072600,svc_sub
Shellcode,1091,94,51,True,0.010126,0.018800,svc_sub
Worms,127,53,6,True,0.001179,0.010600,svc_sub
