variant,k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_rows_scored
with_ttl,2,0.365278,4202.130058,1.254149,2,10000
with_ttl,3,0.317719,3513.567528,1.315868,3,10000
with_ttl,4,0.344406,3331.265203,1.187033,4,10000
with_ttl,5,0.351293,2978.347012,1.122853,5,10000
with_ttl,6,0.354679,2807.863462,1.183982,6,10000
with_ttl,7,0.372326,2696.895180,1.136267,7,10000
with_ttl,8,0.375554,2667.608732,0.996646,8,10000
with_ttl,9,0.377104,2532.430204,1.004961,9,10000
with_ttl,10,0.395490,2549.282883,0.959699,10,10000
with_ttl,11,0.389586,2376.932907,1.020493,11,10000
with_ttl,12,0.405265,2552.542779,0.902994,12,10000
without_ttl,2,0.376250,4432.892931,1.189752,2,10000
without_ttl,3,0.317380,3545.982638,1.302737,3,10000
without_ttl,4,0.346481,3405.229176,1.159635,4,10000
without_ttl,5,0.343215,2998.625828,1.200741,5,10000
without_ttl,6,0.359707,2772.004669,1.135711,6,10000
without_ttl,7,0.370070,2675.037354,1.021974,7,10000
without_ttl,8,0.357064,2608.353900,1.040097,8,10000
without_ttl,9,0.356556,2567.561822,0.928569,9,10000
without_ttl,10,0.344279,2451.757599,0.971550,10,10000
without_ttl,11,0.373994,2574.447561,0.920901,11,10000
without_ttl,12,0.283725,2460.283800,1.088138,12,10000
