variant,run_a,run_b,shared_rows,ari
with_ttl,0,1,6387,0.876735
with_ttl,0,2,6418,0.760988
with_ttl,0,3,6406,0.996510
with_ttl,0,4,6411,0.789654
with_ttl,1,2,6400,0.658390
with_ttl,1,3,6430,0.877410
with_ttl,1,4,6374,0.702645
with_ttl,2,3,6433,0.754765
with_ttl,2,4,6415,0.909820
with_ttl,3,4,6420,0.784412
without_ttl,0,1,6387,0.997429
without_ttl,0,2,6418,0.998085
without_ttl,0,3,6406,0.998076
without_ttl,0,4,6411,0.998081
without_ttl,1,2,6400,0.994863
without_ttl,1,3,6430,0.996154
without_ttl,1,4,6374,0.995484
without_ttl,2,3,6433,1.000000
without_ttl,2,4,6415,1.000000
without_ttl,3,4,6420,1.000000
