variant,k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_rows_scored
with_ttl,2,0.365057,4199.917311,1.255372,2,10000
with_ttl,3,0.292377,3316.404452,1.319471,3,10000
with_ttl,4,0.310766,2965.057351,1.141281,4,10000
with_ttl,5,0.321422,2683.311728,1.155218,5,10000
with_ttl,6,0.334356,2562.231765,1.170032,6,10000
with_ttl,7,0.354907,2461.255117,1.252334,7,10000
with_ttl,8,0.356550,2424.466576,1.102727,8,10000
with_ttl,9,0.372861,2418.072401,0.925228,9,10000
with_ttl,10,0.372407,2407.931126,0.831131,10,10000
with_ttl,11,0.386779,2390.081345,1.001244,11,10000
with_ttl,12,0.386702,2375.238653,1.101170,12,10000
without_ttl,2,0.375871,4412.819224,1.200208,2,10000
without_ttl,3,0.292942,3388.876759,1.318843,3,10000
without_ttl,4,0.319042,3183.491776,1.195544,4,10000
without_ttl,5,0.327545,2819.504613,1.234438,5,10000
without_ttl,6,0.337846,2597.774033,1.081100,6,10000
without_ttl,7,0.356526,2498.912886,1.145533,7,10000
without_ttl,8,0.372733,2441.816656,0.960309,8,10000
without_ttl,9,0.363075,2433.670509,0.987941,9,10000
without_ttl,10,0.362701,2439.915143,0.888674,10,10000
without_ttl,11,0.365220,2382.585092,0.906527,11,10000
without_ttl,12,0.366246,2342.327084,0.935163,12,10000
