column,category,rows
proto,ospf,775
proto,arp,633
proto,sctp,316
proto,any,93
proto,gre,63
proto,rsvp,62
proto,ipv6,59
proto,mobile,57
proto,pim,57
proto,sep,57
proto,sun-nd,57
proto,swipe,57
proto,ib,32
proto,3pc,31
proto,a/n,31
proto,aes-sp3-d,31
proto,aris,31
proto,ax.25,31
proto,bna,31
proto,br-sat-mon,31
proto,cftp,31
proto,compaq-peer,31
proto,cphb,31
proto,cpnx,31
proto,crudp,31
proto,ddp,31
proto,ddx,31
proto,dgp,31
proto,eigrp,31
proto,encap,31
proto,etherip,31
proto,fc,31
proto,fire,31
proto,gmtp,31
proto,i-nlsp,31
proto,iatp,31
proto,idpr,31
proto,idpr-cmtp,31
proto,idrp,31
proto,ifmp,31
proto,il,31
proto,ipcomp,31
proto,ipcv,31
proto,ipip,31
proto,iplt,31
proto,ippc,31
proto,ipv6-frag,31
proto,ipv6-no,31
proto,ipv6-opts,31
proto,ipv6-route,31
proto,ipx-n-ip,31
proto,isis,31
proto,iso-ip,31
proto,kryptolan,31
proto,l2tp,31
proto,larp,31
proto,merit-inp,31
proto,mfe-nsp,31
proto,mhrp,31
proto,micp,31
proto,mtp,31
proto,narp,31
proto,nsfnet-igp,31
proto,pgm,31
proto,pipe,31
proto,pnni,31
proto,pri-enc,31
proto,ptp,31
proto,pvp,31
proto,qnx,31
proto,rvd,31
proto,sat-expak,31
proto,sat-mon,31
proto,sccopmce,31
proto,scps,31
proto,sdrp,31
proto,secure-vmtp,31
proto,skip,31
proto,sm,31
proto,smp,31
proto,snp,31
proto,sprite-rpc,31
proto,sps,31
proto,srp,31
proto,stp,31
proto,tcf,31
proto,tp++,31
proto,ttp,31
proto,uti,31
proto,vines,31
proto,visa,31
proto,vmtp,31
proto,vrrp,31
proto,wb-expak,31
proto,wb-mon,31
proto,wsn,31
proto,xtp,31
proto,zero,31
proto,cbt,30
proto,chaos,30
proto,crtp,30
proto,dcn,30
proto,emcon,30
proto,igp,30
proto,ip,30
proto,ipnip,30
proto,irtp,30
proto,iso-tp4,30
proto,leaf-1,30
proto,leaf-2,30
proto,mux,30
proto,nvp,30
proto,prm,30
proto,pup,30
proto,st2,30
proto,trunk-1,30
proto,trunk-2,30
proto,xnet,30
proto,xns-idp,30
proto,argus,29
proto,bbn-rcc,29
proto,egp,29
proto,hmp,29
proto,netblt,29
proto,rdp,29
proto,tlsp,26
proto,ggp,24
proto,igmp,17
proto,icmp,13
proto,rtp,1
service,snmp,63
service,ssl,56
service,dhcp,55
service,irc,25
service,radius,12
state,REQ,953
state,RST,83
state,ECO,10
state,PAR,1
state,URN,1
state,no,1
