column,category,rows,share
proto,3pc,31,0.000288
proto,a/n,31,0.000288
proto,aes-sp3-d,31,0.000288
proto,any,93,0.000863
proto,argus,29,0.000269
proto,aris,31,0.000288
proto,arp,633,0.005875
proto,ax.25,31,0.000288
proto,bbn-rcc,29,0.000269
proto,bna,31,0.000288
proto,br-sat-mon,31,0.000288
proto,cbt,30,0.000278
proto,cftp,31,0.000288
proto,chaos,30,0.000278
proto,compaq-peer,31,0.000288
proto,cphb,31,0.000288
proto,cpnx,31,0.000288
proto,crtp,30,0.000278
proto,crudp,31,0.000288
proto,dcn,30,0.000278
proto,ddp,31,0.000288
proto,ddx,31,0.000288
proto,dgp,31,0.000288
proto,egp,29,0.000269
proto,eigrp,31,0.000288
proto,emcon,30,0.000278
proto,encap,31,0.000288
proto,etherip,31,0.000288
proto,fc,31,0.000288
proto,fire,31,0.000288
proto,ggp,24,0.000223
proto,gmtp,31,0.000288
proto,gre,63,0.000585
proto,hmp,29,0.000269
proto,i-nlsp,31,0.000288
proto,iatp,31,0.000288
proto,ib,32,0.000297
proto,icmp,13,0.000121
proto,idpr,31,0.000288
proto,idpr-cmtp,31,0.000288
proto,idrp,31,0.000288
proto,ifmp,31,0.000288
proto,igmp,17,0.000158
proto,igp,30,0.000278
proto,il,31,0.000288
proto,ip,30,0.000278
proto,ipcomp,31,0.000288
proto,ipcv,31,0.000288
proto,ipip,31,0.000288
proto,iplt,31,0.000288
proto,ipnip,30,0.000278
proto,ippc,31,0.000288
proto,ipv6,59,0.000548
proto,ipv6-frag,31,0.000288
proto,ipv6-no,31,0.000288
proto,ipv6-opts,31,0.000288
proto,ipv6-route,31,0.000288
proto,ipx-n-ip,31,0.000288
proto,irtp,30,0.000278
proto,isis,31,0.000288
proto,iso-ip,31,0.000288
proto,iso-tp4,30,0.000278
proto,kryptolan,31,0.000288
proto,l2tp,31,0.000288
proto,larp,31,0.000288
proto,leaf-1,30,0.000278
proto,leaf-2,30,0.000278
proto,merit-inp,31,0.000288
proto,mfe-nsp,31,0.000288
proto,mhrp,31,0.000288
proto,micp,31,0.000288
proto,mobile,57,0.000529
proto,mtp,31,0.000288
proto,mux,30,0.000278
proto,narp,31,0.000288
proto,netblt,29,0.000269
proto,nsfnet-igp,31,0.000288
proto,nvp,30,0.000278
proto,ospf,775,0.007193
proto,pgm,31,0.000288
proto,pim,57,0.000529
proto,pipe,31,0.000288
proto,pnni,31,0.000288
proto,pri-enc,31,0.000288
proto,prm,30,0.000278
proto,ptp,31,0.000288
proto,pup,30,0.000278
proto,pvp,31,0.000288
proto,qnx,31,0.000288
proto,rdp,29,0.000269
proto,rsvp,62,0.000575
proto,rtp,1,0.000009
proto,rvd,31,0.000288
proto,sat-expak,31,0.000288
proto,sat-mon,31,0.000288
proto,sccopmce,31,0.000288
proto,scps,31,0.000288
proto,sctp,316,0.002933
proto,sdrp,31,0.000288
proto,secure-vmtp,31,0.000288
proto,sep,57,0.000529
proto,skip,31,0.000288
proto,sm,31,0.000288
proto,smp,31,0.000288
proto,snp,31,0.000288
proto,sprite-rpc,31,0.000288
proto,sps,31,0.000288
proto,srp,31,0.000288
proto,st2,30,0.000278
proto,stp,31,0.000288
proto,sun-nd,57,0.000529
proto,swipe,57,0.000529
proto,tcf,31,0.000288
proto,tcp,76293,0.708121
proto,tlsp,26,0.000241
proto,tp++,31,0.000288
proto,trunk-1,30,0.000278
proto,trunk-2,30,0.000278
proto,ttp,31,0.000288
proto,udp,23027,0.213727
proto,unas,2582,0.023965
proto,uti,31,0.000288
proto,vines,31,0.000288
proto,visa,31,0.000288
proto,vmtp,31,0.000288
proto,vrrp,31,0.000288
proto,wb-expak,31,0.000288
proto,wb-mon,31,0.000288
proto,wsn,31,0.000288
proto,xnet,30,0.000278
proto,xns-idp,30,0.000278
proto,xtp,31,0.000288
proto,zero,31,0.000288
service,dhcp,55,0.000510
service,dns,11046,0.102525
service,ftp,2691,0.024977
service,ftp-data,3282,0.030462
service,http,18135,0.168322
service,irc,25,0.000232
service,none,64951,0.602849
service,pop3,1104,0.010247
service,radius,12,0.000111
service,smtp,5025,0.046640
service,snmp,63,0.000585
service,ssh,1295,0.012020
service,ssl,56,0.000520
state,CON,12487,0.115899
state,ECO,10,0.000093
state,FIN,74478,0.691275
state,INT,19726,0.183089
state,PAR,1,0.000009
state,REQ,953,0.008845
state,RST,83,0.000770
state,URN,1,0.000009
state,no,1,0.000009
