variant,cluster,attack_cat,rows,share_of_cluster,share_of_class
with_ttl,0,Analysis,0,0.000000,0.000000
with_ttl,0,Backdoor,0,0.000000,0.000000
with_ttl,0,DoS,21,0.000874,0.005518
with_ttl,0,Exploits,408,0.016979,0.020560
with_ttl,0,Fuzzers,1,0.000042,0.000062
with_ttl,0,Generic,1,0.000042,0.000239
with_ttl,0,Normal,23598,0.982063,0.454770
with_ttl,0,Reconnaissance,0,0.000000,0.000000
with_ttl,0,Shellcode,0,0.000000,0.000000
with_ttl,0,Worms,0,0.000000,0.000000
with_ttl,1,Analysis,0,0.000000,0.000000
with_ttl,1,Backdoor,2,0.000355,0.001303
with_ttl,1,DoS,345,0.061290,0.090646
with_ttl,1,Exploits,2876,0.510926,0.144930
with_ttl,1,Fuzzers,1449,0.257417,0.089721
with_ttl,1,Generic,39,0.006928,0.009328
with_ttl,1,Normal,916,0.162729,0.017653
with_ttl,1,Reconnaissance,1,0.000178,0.000133
with_ttl,1,Shellcode,0,0.000000,0.000000
with_ttl,1,Worms,1,0.000178,0.007874
with_ttl,2,Analysis,1105,0.073014,0.693225
with_ttl,2,Backdoor,1054,0.069645,0.686645
with_ttl,2,DoS,1299,0.085833,0.341303
with_ttl,2,Exploits,1427,0.094291,0.071911
with_ttl,2,Fuzzers,4387,0.289877,0.271641
with_ttl,2,Generic,940,0.062112,0.224827
with_ttl,2,Normal,2082,0.137571,0.040123
with_ttl,2,Reconnaissance,2292,0.151447,0.304706
with_ttl,2,Shellcode,533,0.035219,0.488543
with_ttl,2,Worms,15,0.000991,0.118110
with_ttl,3,Analysis,19,0.000582,0.011920
with_ttl,3,Backdoor,240,0.007356,0.156352
with_ttl,3,DoS,1006,0.030833,0.264319
with_ttl,3,Exploits,8375,0.256689,0.422042
with_ttl,3,Fuzzers,9340,0.286266,0.578328
with_ttl,3,Generic,187,0.005731,0.044726
with_ttl,3,Normal,7807,0.239280,0.150453
with_ttl,3,Reconnaissance,5009,0.153523,0.665913
with_ttl,3,Shellcode,557,0.017072,0.510541
with_ttl,3,Worms,87,0.002667,0.685039
with_ttl,4,Analysis,379,0.032774,0.237767
with_ttl,4,Backdoor,28,0.002421,0.018241
with_ttl,4,DoS,871,0.075320,0.228849
with_ttl,4,Exploits,5612,0.485299,0.282806
with_ttl,4,Fuzzers,61,0.005275,0.003777
with_ttl,4,Generic,255,0.022051,0.060990
with_ttl,4,Normal,4293,0.371238,0.082733
with_ttl,4,Reconnaissance,41,0.003545,0.005451
with_ttl,4,Shellcode,0,0.000000,0.000000
with_ttl,4,Worms,24,0.002075,0.188976
with_ttl,5,Analysis,6,0.000534,0.003764
with_ttl,5,Backdoor,62,0.005513,0.040391
with_ttl,5,DoS,84,0.007469,0.022070
with_ttl,5,Exploits,214,0.019029,0.010784
with_ttl,5,Fuzzers,34,0.003023,0.002105
with_ttl,5,Generic,15,0.001334,0.003588
with_ttl,5,Normal,10797,0.960075,0.208075
with_ttl,5,Reconnaissance,34,0.003023,0.004520
with_ttl,5,Shellcode,0,0.000000,0.000000
with_ttl,5,Worms,0,0.000000,0.000000
with_ttl,6,Analysis,85,0.057394,0.053325
with_ttl,6,Backdoor,149,0.100608,0.097068
with_ttl,6,DoS,161,0.108710,0.042302
with_ttl,6,Exploits,172,0.116138,0.008668
with_ttl,6,Fuzzers,333,0.224848,0.020619
with_ttl,6,Generic,37,0.024983,0.008850
with_ttl,6,Normal,402,0.271438,0.007747
with_ttl,6,Reconnaissance,142,0.095881,0.018878
with_ttl,6,Shellcode,0,0.000000,0.000000
with_ttl,6,Worms,0,0.000000,0.000000
with_ttl,7,Analysis,0,0.000000,0.000000
with_ttl,7,Backdoor,0,0.000000,0.000000
with_ttl,7,DoS,2,0.000549,0.000525
with_ttl,7,Exploits,10,0.002747,0.000504
with_ttl,7,Fuzzers,415,0.114011,0.025697
with_ttl,7,Generic,2707,0.743681,0.647453
with_ttl,7,Normal,502,0.137912,0.009674
with_ttl,7,Reconnaissance,3,0.000824,0.000399
with_ttl,7,Shellcode,1,0.000275,0.000917
with_ttl,7,Worms,0,0.000000,0.000000
with_ttl,8,Analysis,0,0.000000,0.000000
with_ttl,8,Backdoor,0,0.000000,0.000000
with_ttl,8,DoS,0,0.000000,0.000000
with_ttl,8,Exploits,0,0.000000,0.000000
with_ttl,8,Fuzzers,0,0.000000,0.000000
with_ttl,8,Generic,0,0.000000,0.000000
with_ttl,8,Normal,545,1.000000,0.010503
with_ttl,8,Reconnaissance,0,0.000000,0.000000
with_ttl,8,Shellcode,0,0.000000,0.000000
with_ttl,8,Worms,0,0.000000,0.000000
with_ttl,9,Analysis,0,0.000000,0.000000
with_ttl,9,Backdoor,0,0.000000,0.000000
with_ttl,9,DoS,17,0.009214,0.004467
with_ttl,9,Exploits,750,0.406504,0.037795
with_ttl,9,Fuzzers,130,0.070461,0.008050
with_ttl,9,Generic,0,0.000000,0.000000
with_ttl,9,Normal,948,0.513821,0.018269
with_ttl,9,Reconnaissance,0,0.000000,0.000000
with_ttl,9,Shellcode,0,0.000000,0.000000
with_ttl,9,Worms,0,0.000000,0.000000
without_ttl,0,Analysis,24,0.000728,0.015056
without_ttl,0,Backdoor,242,0.007343,0.157655
without_ttl,0,DoS,989,0.030009,0.259853
without_ttl,0,Exploits,8299,0.251813,0.418212
without_ttl,0,Fuzzers,9340,0.283400,0.578328
without_ttl,0,Generic,169,0.005128,0.040421
without_ttl,0,Normal,8241,0.250053,0.158817
without_ttl,0,Reconnaissance,5010,0.152016,0.666046
without_ttl,0,Shellcode,557,0.016901,0.510541
without_ttl,0,Worms,86,0.002609,0.677165
without_ttl,1,Analysis,1104,0.073214,0.692597
without_ttl,1,Backdoor,1049,0.069567,0.683388
without_ttl,1,DoS,1291,0.085616,0.339201
without_ttl,1,Exploits,1423,0.094370,0.071709
without_ttl,1,Fuzzers,4378,0.290338,0.271084
without_ttl,1,Generic,927,0.061476,0.221717
without_ttl,1,Normal,2074,0.137542,0.039969
without_ttl,1,Reconnaissance,2285,0.151535,0.303776
without_ttl,1,Shellcode,533,0.035347,0.488543
without_ttl,1,Worms,15,0.000995,0.118110
without_ttl,2,Analysis,0,0.000000,0.000000
without_ttl,2,Backdoor,0,0.000000,0.000000
without_ttl,2,DoS,132,0.035938,0.034682
without_ttl,2,Exploits,1613,0.439151,0.081284
without_ttl,2,Fuzzers,1,0.000272,0.000062
without_ttl,2,Generic,41,0.011163,0.009806
without_ttl,2,Normal,1864,0.507487,0.035922
without_ttl,2,Reconnaissance,3,0.000817,0.000399
without_ttl,2,Shellcode,0,0.000000,0.000000
without_ttl,2,Worms,19,0.005173,0.149606
without_ttl,3,Analysis,0,0.000000,0.000000
without_ttl,3,Backdoor,0,0.000000,0.000000
without_ttl,3,DoS,2,0.000541,0.000525
without_ttl,3,Exploits,10,0.002705,0.000504
without_ttl,3,Fuzzers,425,0.114958,0.026316
without_ttl,3,Generic,2719,0.735461,0.650323
without_ttl,3,Normal,536,0.144982,0.010330
without_ttl,3,Reconnaissance,4,0.001082,0.000532
without_ttl,3,Shellcode,1,0.000270,0.000917
without_ttl,3,Worms,0,0.000000,0.000000
without_ttl,4,Analysis,88,0.007026,0.055207
without_ttl,4,Backdoor,210,0.016766,0.136808
without_ttl,4,DoS,233,0.018603,0.061219
without_ttl,4,Exploits,370,0.029541,0.018645
without_ttl,4,Fuzzers,360,0.028743,0.022291
without_ttl,4,Generic,52,0.004152,0.012437
without_ttl,4,Normal,11036,0.881118,0.212681
without_ttl,4,Reconnaissance,176,0.014052,0.023398
without_ttl,4,Shellcode,0,0.000000,0.000000
without_ttl,4,Worms,0,0.000000,0.000000
without_ttl,5,Analysis,375,0.038281,0.235257
without_ttl,5,Backdoor,28,0.002858,0.018241
without_ttl,5,DoS,779,0.079522,0.204677
without_ttl,5,Exploits,4463,0.455594,0.224904
without_ttl,5,Fuzzers,62,0.006329,0.003839
without_ttl,5,Generic,227,0.023173,0.054293
without_ttl,5,Normal,3817,0.389649,0.073559
without_ttl,5,Reconnaissance,39,0.003981,0.005185
without_ttl,5,Shellcode,0,0.000000,0.000000
without_ttl,5,Worms,6,0.000612,0.047244
without_ttl,6,Analysis,0,0.000000,0.000000
without_ttl,6,Backdoor,0,0.000000,0.000000
without_ttl,6,DoS,2,0.000094,0.000525
without_ttl,6,Exploits,35,0.001644,0.001764
without_ttl,6,Fuzzers,0,0.000000,0.000000
without_ttl,6,Generic,2,0.000094,0.000478
without_ttl,6,Normal,21252,0.998168,0.409559
without_ttl,6,Reconnaissance,0,0.000000,0.000000
without_ttl,6,Shellcode,0,0.000000,0.000000
without_ttl,6,Worms,0,0.000000,0.000000
without_ttl,7,Analysis,0,0.000000,0.000000
without_ttl,7,Backdoor,0,0.000000,0.000000
without_ttl,7,DoS,0,0.000000,0.000000
without_ttl,7,Exploits,0,0.000000,0.000000
without_ttl,7,Fuzzers,0,0.000000,0.000000
without_ttl,7,Generic,0,0.000000,0.000000
without_ttl,7,Normal,545,1.000000,0.010503
without_ttl,7,Reconnaissance,0,0.000000,0.000000
without_ttl,7,Shellcode,0,0.000000,0.000000
without_ttl,7,Worms,0,0.000000,0.000000
without_ttl,8,Analysis,0,0.000000,0.000000
without_ttl,8,Backdoor,0,0.000000,0.000000
without_ttl,8,DoS,17,0.009214,0.004467
without_ttl,8,Exploits,750,0.406504,0.037795
without_ttl,8,Fuzzers,130,0.070461,0.008050
without_ttl,8,Generic,0,0.000000,0.000000
without_ttl,8,Normal,948,0.513821,0.018269
without_ttl,8,Reconnaissance,0,0.000000,0.000000
without_ttl,8,Shellcode,0,0.000000,0.000000
without_ttl,8,Worms,0,0.000000,0.000000
without_ttl,9,Analysis,3,0.000474,0.001882
without_ttl,9,Backdoor,6,0.000948,0.003909
without_ttl,9,DoS,361,0.057012,0.094850
without_ttl,9,Exploits,2881,0.454991,0.145182
without_ttl,9,Fuzzers,1454,0.229627,0.090031
without_ttl,9,Generic,44,0.006949,0.010524
without_ttl,9,Normal,1577,0.249052,0.030391
without_ttl,9,Reconnaissance,5,0.000790,0.000665
without_ttl,9,Shellcode,0,0.000000,0.000000
without_ttl,9,Worms,1,0.000158,0.007874
