variant,cluster,feature,cluster_mean,global_mean,ratio,std_deviations
with_ttl,0,ackdat,0.000902,0.031043,0.029065,-0.646233
with_ttl,0,ct_dst_ltm,3.797828,3.096686,1.226417,0.173922
with_ttl,0,ct_dst_sport_ltm,1.003204,1.441934,0.695735,-0.209318
with_ttl,0,ct_dst_src_ltm,2.888510,4.025292,0.717590,-0.184659
with_ttl,0,ct_flw_http_mthd,0.022556,0.181984,0.123945,-0.275450
with_ttl,0,ct_ftp_cmd,0.000000,0.017310,0.000000,-0.130326
with_ttl,0,ct_src_dport_ltm,1.654875,1.984017,0.834103,-0.098312
with_ttl,0,ct_src_ltm,4.502892,3.905532,1.152952,0.119776
with_ttl,0,ct_srv_dst,5.784469,4.784982,1.208880,0.161269
with_ttl,0,ct_srv_src,6.062216,5.094348,1.189989,0.154273
with_ttl,0,ct_state_ttl,0.018186,0.875747,0.020767,-0.966291
with_ttl,0,dbytes,57704.041450,23732.477242,2.431438,0.190189
with_ttl,0,dinpkt,7.286210,106.294249,0.068548,-0.090893
with_ttl,0,djit,391.513699,822.818710,0.475820,-0.089730
with_ttl,0,dload,4457040.563673,1089235.616224,4.091898,1.117474
with_ttl,0,dloss,27.130967,11.006367,2.465025,0.246432
with_ttl,0,dmean,443.318781,196.520809,2.255836,0.810787
with_ttl,0,dpkts,71.203296,30.059087,2.368778,0.301323
with_ttl,0,dttl,33.039660,121.600046,0.271708,-0.763351
with_ttl,0,dur,0.471171,1.355982,0.347476,-0.160247
with_ttl,0,dwin,255.000000,179.166781,1.423255,0.650590
with_ttl,0,is_sm_ips_ports,0.000000,0.005058,0.000000,-0.071304
with_ttl,0,rate,2708.873404,38690.934353,0.070013,-0.308511
with_ttl,0,response_body_len,1.783512,3442.631622,0.000518,-0.049903
with_ttl,0,sbytes,6132.894461,13825.409319,0.443596,-0.034552
with_ttl,0,sinpkt,8.019029,433.203393,0.018511,-0.096120
with_ttl,0,sjit,752.685101,5440.630147,0.138345,-0.115307
with_ttl,0,sload,1354187.842987,49681174.104178,0.027258,-0.228599
with_ttl,0,sloss,8.997919,7.900743,1.138870,0.013056
with_ttl,0,smean,139.138000,171.053843,0.813416,-0.128956
with_ttl,0,spkts,54.959632,30.190459,1.820431,0.142830
with_ttl,0,sttl,31.603646,143.052246,0.220924,-1.034079
with_ttl,0,swin,255.000000,180.556553,1.412300,0.642132
with_ttl,0,synack,0.001128,0.032020,0.035213,-0.614156
with_ttl,0,tcprtt,0.002030,0.063064,0.032187,-0.671540
with_ttl,0,trans_depth,0.022514,0.166642,0.135107,-0.147622
with_ttl,1,ackdat,0.067736,0.031043,2.181976,0.786698
with_ttl,1,ct_dst_ltm,1.853082,3.096686,0.598408,-0.308484
with_ttl,1,ct_dst_sport_ltm,1.027536,1.441934,0.712609,-0.197709
with_ttl,1,ct_dst_src_ltm,2.229526,4.025292,0.553879,-0.291705
with_ttl,1,ct_flw_http_mthd,0.212116,0.181984,1.165571,0.052059
with_ttl,1,ct_ftp_cmd,0.000000,0.017310,0.000000,-0.130326
with_ttl,1,ct_src_dport_ltm,1.099840,1.984017,0.554350,-0.264097
with_ttl,1,ct_src_ltm,2.198792,3.905532,0.562994,-0.342216
with_ttl,1,ct_srv_dst,1.813644,4.784982,0.379028,-0.479431
with_ttl,1,ct_srv_src,2.230769,5.094348,0.437891,-0.456438
with_ttl,1,ct_state_ttl,0.974951,0.875747,1.113279,0.111782
with_ttl,1,dbytes,3087.581098,23732.477242,0.130099,-0.115580
with_ttl,1,dinpkt,123.910030,106.294249,1.165727,0.016172
with_ttl,1,djit,338.542198,822.818710,0.411442,-0.100751
with_ttl,1,dload,8028.110504,1089235.616224,0.007370,-0.358756
with_ttl,1,dloss,5.019719,11.006367,0.456074,-0.091494
with_ttl,1,dmean,67.651448,196.520809,0.344246,-0.423365
with_ttl,1,dpkts,41.776870,30.059087,1.389825,0.085816
with_ttl,1,dttl,245.977261,121.600046,2.022839,1.072076
with_ttl,1,dur,3.697161,1.355982,2.726556,0.424008
with_ttl,1,dwin,254.682892,179.166781,1.421485,0.647869
with_ttl,1,is_sm_ips_ports,0.000000,0.005058,0.000000,-0.071304
with_ttl,1,rate,59.137771,38690.934353,0.001528,-0.331230
with_ttl,1,response_body_len,9.281045,3442.631622,0.002696,-0.049794
with_ttl,1,sbytes,221179.316575,13825.409319,15.998030,0.931368
with_ttl,1,sinpkt,47.948129,433.203393,0.110683,-0.087093
with_ttl,1,sjit,5715.033332,5440.630147,1.050436,0.006749
with_ttl,1,sload,376375.112562,49681174.104178,0.007576,-0.233224
with_ttl,1,sloss,88.124889,7.900743,11.154001,0.954647
with_ttl,1,smean,962.899982,171.053843,5.629222,3.199445
with_ttl,1,spkts,182.751821,30.190459,6.053297,0.879737
with_ttl,1,sttl,168.537218,143.052246,1.178151,0.236463
with_ttl,1,swin,254.682892,180.556553,1.410544,0.639397
with_ttl,1,synack,0.069284,0.032020,2.163740,0.740805
with_ttl,1,tcprtt,0.137020,0.063064,2.172717,0.813718
with_ttl,1,trans_depth,0.181915,0.166642,1.091653,0.015643
with_ttl,2,ackdat,0.000000,0.031043,0.000000,-0.665578
with_ttl,2,ct_dst_ltm,2.714154,3.096686,0.876470,-0.094890
with_ttl,2,ct_dst_sport_ltm,1.778908,1.441934,1.233696,0.160770
with_ttl,2,ct_dst_src_ltm,5.709528,4.025292,1.418413,0.273588
with_ttl,2,ct_flw_http_mthd,0.000000,0.181984,0.000000,-0.314421
with_ttl,2,ct_ftp_cmd,0.000000,0.017310,0.000000,-0.130326
with_ttl,2,ct_src_dport_ltm,2.218845,1.984017,1.118360,0.070141
with_ttl,2,ct_src_ltm,4.269526,3.905532,1.093200,0.072984
with_ttl,2,ct_srv_dst,5.640544,4.784982,1.178802,0.138046
with_ttl,2,ct_srv_src,5.904189,5.094348,1.158969,0.129084
with_ttl,2,ct_state_ttl,2.100040,0.875747,2.397998,1.379521
with_ttl,2,dbytes,0.000000,23732.477242,0.000000,-0.132866
with_ttl,2,dinpkt,0.000000,106.294249,0.000000,-0.097582
with_ttl,2,djit,0.000000,822.818710,0.000000,-0.171182
with_ttl,2,dload,0.000000,1089235.616224,0.000000,-0.361420
with_ttl,2,dloss,0.000000,11.006367,0.000000,-0.168210
with_ttl,2,dmean,0.000000,196.520809,0.000000,-0.645615
with_ttl,2,dpkts,0.000000,30.059087,0.000000,-0.220140
with_ttl,2,dttl,0.000000,121.600046,0.000000,-1.048138
with_ttl,2,dur,0.000864,1.355982,0.000637,-0.245424
with_ttl,2,dwin,0.000000,179.166781,0.000000,-1.537111
with_ttl,2,is_sm_ips_ports,0.000000,0.005058,0.000000,-0.071304
with_ttl,2,rate,219291.874333,38690.934353,5.667784,1.548478
with_ttl,2,response_body_len,0.000000,3442.631622,0.000000,-0.049928
with_ttl,2,sbytes,391.900093,13825.409319,0.028346,-0.060339
with_ttl,2,sinpkt,113.960798,433.203393,0.263065,-0.072170
with_ttl,2,sjit,113.965036,5440.630147,0.020947,-0.131017
with_ttl,2,sload,292139512.646051,49681174.104178,5.880286,1.146888
with_ttl,2,sloss,0.022070,7.900743,0.002793,-0.093754
with_ttl,2,smean,192.950641,171.053843,1.128011,0.088474
with_ttl,2,spkts,2.035549,30.190459,0.067424,-0.162354
with_ttl,2,sttl,252.591648,143.052246,1.765730,1.016365
