sampler,attack_cat,available,allocated,proportional,floor_applied,population_share,sample_share
default_floor50,Analysis,1594,187,148,True,0.014795,0.018700
default_floor50,Backdoor,1535,182,143,True,0.014247,0.018200
default_floor50,DoS,3806,383,353,True,0.035326,0.038300
default_floor50,Exploits,19844,1803,1842,False,0.184184,0.180300
default_floor50,Fuzzers,16150,1476,1499,False,0.149898,0.147600
default_floor50,Generic,4181,416,388,True,0.038806,0.041600
default_floor50,Normal,51890,4642,4816,False,0.481622,0.464200
default_floor50,Reconnaissance,7522,712,698,True,0.069816,0.071200
default_floor50,Shellcode,1091,142,101,True,0.010126,0.014200
default_floor50,Worms,127,57,12,True,0.001179,0.005700
proportional_floor0,Analysis,1594,148,148,False,0.014795,0.014800
proportional_floor0,Backdoor,1535,143,143,False,0.014247,0.014300
proportional_floor0,DoS,3806,353,353,False,0.035326,0.035300
proportional_floor0,Exploits,19844,1842,1842,False,0.184184,0.184200
proportional_floor0,Fuzzers,16150,1499,1499,False,0.149898,0.149900
proportional_floor0,Generic,4181,388,388,False,0.038806,0.038800
proportional_floor0,Normal,51890,4816,4816,False,0.481622,0.481600
proportional_floor0,Reconnaissance,7522,698,698,False,0.069816,0.069800
proportional_floor0,Shellcode,1091,101,101,False,0.010126,0.010100
proportional_floor0,Worms,127,12,12,False,0.001179,0.001200
