variant,k,inertia,silhouette,calinski_harabasz
with_ttl,2,2465697.827968,0.400716,51454.669681
with_ttl,3,2001254.893454,0.356676,44199.329372
with_ttl,4,1657691.563971,0.385617,43015.797973
with_ttl,5,1483440.928352,0.402751,39214.880617
with_ttl,6,1314666.594887,0.414206,38165.159830
with_ttl,7,1185856.460232,0.436080,37208.966274
with_ttl,8,1052662.470422,0.441759,37875.924407
with_ttl,9,946911.499786,0.461483,38346.227297
with_ttl,10,889739.287090,0.472304,37044.595288
with_ttl,11,805920.023192,0.435381,37927.750166
with_ttl,12,749855.337459,0.446872,37789.626517
without_ttl,2,2311830.358035,0.411409,53995.153322
without_ttl,3,1903074.432291,0.356034,44366.287810
without_ttl,4,1565687.736912,0.387732,43689.477242
without_ttl,5,1408651.689892,0.387922,39422.118371
without_ttl,6,1280378.752554,0.408852,36855.593804
without_ttl,7,1145902.466803,0.420282,36424.156156
without_ttl,8,1032415.938542,0.419583,36343.956143
without_ttl,9,926466.212377,0.438944,36977.362906
without_ttl,10,860342.366797,0.441546,36314.671891
without_ttl,11,777529.900380,0.440356,37311.217142
without_ttl,12,732044.070217,0.424220,36635.078138
