feature,count,mean,median,std,min,q25,q75,max,skew,mean_median_ratio
ackdat,107740,0.031043,0.000143,0.046641,0.000000,0.000000,0.057528,1.520884,4.948376,217.086027
ct_dst_ltm,107740,3.096686,2.000000,4.031363,1.000000,1.000000,3.000000,51.000000,4.309429,1.548343
ct_dst_sport_ltm,107740,1.441934,1.000000,2.096007,1.000000,1.000000,1.000000,46.000000,6.382663,1.441934
ct_dst_src_ltm,107740,4.025292,2.000000,6.156138,1.000000,1.000000,4.000000,65.000000,4.109829,2.012646
ct_flw_http_mthd,107740,0.181984,0.000000,0.578794,0.000000,0.000000,0.000000,30.000000,16.623546,
ct_ftp_cmd,107740,0.017310,0.000000,0.132823,0.000000,0.000000,0.000000,4.000000,8.277704,
ct_src_dport_ltm,107740,1.984017,1.000000,3.347937,1.000000,1.000000,2.000000,51.000000,5.997751,1.984017
ct_src_ltm,107740,3.905532,2.000000,4.987334,1.000000,1.000000,4.000000,60.000000,3.457005,1.952766
ct_srv_dst,107740,4.784982,3.000000,6.197668,1.000000,1.000000,6.000000,62.000000,3.534161,1.594994
ct_srv_src,107740,5.094348,3.000000,6.273775,1.000000,1.000000,6.000000,63.000000,3.430697,1.698116
ct_state_ttl,107740,0.875747,1.000000,0.887481,0.000000,0.000000,1.000000,6.000000,1.761737,0.875747
dbytes,107740,23732.477242,354.000000,178620.848465,0.000000,178.000000,3080.000000,14655550.000000,32.131877,67.040896
dinpkt,107740,106.294249,12.617693,1089.287468,0.000000,0.007000,81.620653,56716.824000,29.980542,8.424222
djit,107740,822.818710,62.460320,4806.700722,0.000000,0.000000,183.634227,289388.269700,26.941375,13.173463
dload,107740,1089235.616224,7912.984863,3013780.591726,0.000000,2113.082825,546224.406250,22422730.000000,3.546844,137.651674
dloss,107740,11.006367,1.000000,65.432523,0.000000,0.000000,6.000000,5484.000000,33.643540,11.006367
dmean,107740,196.520809,76.000000,304.394687,0.000000,44.000000,136.000000,1458.000000,2.077536,2.585800
dpkts,107740,30.059087,8.000000,136.545939,0.000000,2.000000,18.000000,10974.000000,30.006802,3.757386
dttl,107740,121.600046,29.000000,116.015831,0.000000,29.000000,252.000000,254.000000,0.217041,4.193105
dur,107740,1.355982,0.305082,5.521568,0.000000,0.001701,0.971105,59.999989,8.354809,4.444656
dwin,107740,179.166781,255.000000,116.561262,0.000000,0.000000,255.000000,255.000000,-0.886505,0.702615
is_sm_ips_ports,107740,0.005058,0.000000,0.070943,0.000000,0.000000,0.000000,1.000000,13.953443,
rate,107740,38690.934353,87.279626,116631.811755,0.000000,26.233821,4020.463635,1000000.003000,5.355056,443.298584
response_body_len,107740,3442.631622,0.000000,68951.632966,0.000000,0.000000,0.000000,6558056.000000,60.267952,
sbytes,107740,13825.409319,952.000000,222634.748874,28.000000,501.500000,2542.000000,12965233.000000,35.593752,14.522489
sinpkt,107740,433.203393,19.439039,4423.513337,0.000000,0.235218,74.963026,84371.496000,12.869398,22.285227
sjit,107740,5440.630147,1110.597962,40656.337537,0.000000,0.000000,4240.690732,1460480.016000,19.431674,4.898830
sload,107740,49681174.104178,87628.792970,211406399.357492,0.000000,9317.050537,1115274.593750,5988000256.000000,9.403655,566.950342
sloss,107740,7.900743,2.000000,84.035814,0.000000,0.000000,6.000000,4803.000000,35.184438,3.950371
smean,107740,171.053843,82.000000,247.495985,28.000000,59.000000,130.000000,1504.000000,2.901788,2.086022
spkts,107740,30.190459,10.000000,173.417880,1.000000,4.000000,22.000000,9616.000000,32.012743,3.019046
sttl,107740,143.052246,62.000000,107.776171,0.000000,31.000000,254.000000,255.000000,0.039823,2.307294
swin,107740,180.556553,255.000000,115.932149,0.000000,0.000000,255.000000,255.000000,-0.915280,0.708065
synack,107740,0.032020,0.000582,0.050302,0.000000,0.000000,0.062957,2.100352,5.166717,55.017914
tcprtt,107740,0.063064,0.000729,0.090887,0.000000,0.000000,0.123110,2.518893,3.492865,86.507171
trans_depth,107740,0.166642,0.000000,0.976335,0.000000,0.000000,0.000000,172.000000,136.442905,
