position,column,dtype,non_null,role
0,dur,float64,107740,feature_skewed
1,proto,str,107740,feature_categorical
2,service,str,107740,feature_categorical
3,state,str,107740,feature_categorical
4,spkts,int64,107740,feature_skewed
5,dpkts,int64,107740,feature_skewed
6,sbytes,int64,107740,feature_skewed
7,dbytes,int64,107740,feature_skewed
8,rate,float64,107740,feature_skewed
9,sttl,int64,107740,feature_numeric
10,dttl,int64,107740,feature_numeric
11,sload,float64,107740,feature_skewed
12,dload,float64,107740,feature_skewed
13,sloss,int64,107740,feature_skewed
14,dloss,int64,107740,feature_skewed
15,sinpkt,float64,107740,feature_skewed
16,dinpkt,float64,107740,feature_skewed
17,sjit,float64,107740,feature_skewed
18,djit,float64,107740,feature_skewed
19,swin,int64,107740,feature_numeric
20,dwin,int64,107740,feature_numeric
21,tcprtt,float64,107740,feature_numeric
22,synack,float64,107740,feature_numeric
23,ackdat,float64,107740,feature_numeric
24,smean,int64,107740,feature_numeric
25,dmean,int64,107740,feature_numeric
26,trans_depth,int64,107740,feature_numeric
27,response_body_len,int64,107740,feature_skewed
28,ct_srv_src,int64,107740,feature_numeric
29,ct_state_ttl,int64,107740,feature_numeric
30,ct_dst_ltm,int64,107740,feature_numeric
31,ct_src_dport_ltm,int64,107740,feature_numeric
32,ct_dst_sport_ltm,int64,107740,feature_numeric
33,ct_dst_src_ltm,int64,107740,feature_numeric
34,ct_ftp_cmd,int64,107740,feature_numeric
35,ct_flw_http_mthd,int64,107740,feature_numeric
36,ct_src_ltm,int64,107740,feature_numeric
37,ct_srv_dst,int64,107740,feature_numeric
38,is_sm_ips_ports,int64,107740,feature_numeric
39,attack_cat,str,107740,target
40,label,int64,107740,target
