variant,component,explained,cumulative
with_ttl,1,0.350243,0.350243
with_ttl,2,0.151259,0.501503
with_ttl,3,0.104753,0.606256
with_ttl,4,0.063627,0.669883
with_ttl,5,0.044373,0.714256
with_ttl,6,0.039307,0.753563
with_ttl,7,0.030633,0.784195
with_ttl,8,0.028707,0.812903
with_ttl,9,0.025094,0.837997
with_ttl,10,0.023163,0.861160
with_ttl,11,0.020577,0.881737
with_ttl,12,0.019575,0.901311
with_ttl,13,0.013961,0.915273
with_ttl,14,0.012788,0.928061
with_ttl,15,0.010195,0.938255
with_ttl,16,0.008416,0.946672
with_ttl,17,0.008040,0.954712
with_ttl,18,0.006293,0.961005
with_ttl,19,0.005821,0.966826
with_ttl,20,0.004739,0.971565
with_ttl,21,0.003960,0.975526
with_ttl,22,0.003578,0.979103
with_ttl,23,0.002674,0.981777
with_ttl,24,0.002423,0.984200
with_ttl,25,0.002108,0.986308
with_ttl,26,0.002022,0.988329
with_ttl,27,0.001715,0.990045
with_ttl,28,0.001443,0.991488
with_ttl,29,0.001093,0.992580
with_ttl,30,0.001028,0.993608
with_ttl,31,0.000958,0.994566
with_ttl,32,0.000858,0.995425
with_ttl,33,0.000764,0.996189
with_ttl,34,0.000662,0.996851
with_ttl,35,0.000558,0.997409
with_ttl,36,0.000523,0.997933
with_ttl,37,0.000414,0.998346
with_ttl,38,0.000325,0.998672
with_ttl,39,0.000275,0.998946
with_ttl,40,0.000241,0.999187
with_ttl,41,0.000219,0.999407
with_ttl,42,0.000172,0.999579
with_ttl,43,0.000152,0.999731
with_ttl,44,0.000084,0.999814
with_ttl,45,0.000067,0.999882
with_ttl,46,0.000057,0.999939
with_ttl,47,0.000034,0.999972
with_ttl,48,0.000027,0.999999
with_ttl,49,0.000001,1.000000
with_ttl,50,0.000000,1.000000
with_ttl,51,0.000000,1.000000
with_ttl,52,0.000000,1.000000
with_ttl,53,0.000000,1.000000
without_ttl,1,0.364953,0.364953
without_ttl,2,0.136857,0.501810
without_ttl,3,0.109670,0.611481
without_ttl,4,0.064248,0.675729
without_ttl,5,0.045645,0.721374
without_ttl,6,0.040733,0.762106
without_ttl,7,0.030342,0.792448
without_ttl,8,0.026661,0.819109
without_ttl,9,0.024601,0.843710
without_ttl,10,0.023038,0.866748
without_ttl,11,0.021413,0.888161
without_ttl,12,0.018736,0.906897
without_ttl,13,0.014510,0.921407
without_ttl,14,0.013418,0.934825
without_ttl,15,0.009795,0.944621
without_ttl,16,0.008542,0.953163
without_ttl,17,0.006851,0.960014
without_ttl,18,0.005414,0.965428
without_ttl,19,0.004983,0.970411
without_ttl,20,0.004544,0.974954
without_ttl,21,0.003746,0.978701
without_ttl,22,0.002824,0.981525
without_ttl,23,0.002334,0.983859
without_ttl,24,0.002222,0.986081
without_ttl,25,0.002022,0.988103
without_ttl,26,0.001876,0.989979
without_ttl,27,0.001440,0.991419
without_ttl,28,0.001253,0.992672
without_ttl,29,0.001044,0.993716
without_ttl,30,0.000911,0.994627
without_ttl,31,0.000813,0.995440
without_ttl,32,0.000739,0.996179
without_ttl,33,0.000663,0.996843
without_ttl,34,0.000584,0.997427
without_ttl,35,0.000541,0.997968
without_ttl,36,0.000439,0.998408
without_ttl,37,0.000328,0.998736
without_ttl,38,0.000288,0.999024
without_ttl,39,0.000254,0.999278
without_ttl,40,0.000236,0.999514
without_ttl,41,0.000193,0.999707
without_ttl,42,0.000089,0.999796
without_ttl,43,0.000076,0.999872
without_ttl,44,0.000060,0.999933
without_ttl,45,0.000038,0.999970
without_ttl,46,0.000029,0.999999
without_ttl,47,0.000001,1.000000
without_ttl,48,0.000000,1.000000
without_ttl,49,0.000000,1.000000
without_ttl,50,0.000000,1.000000
without_ttl,51,0.000000,1.000000
