variant,component,rank,feature,loading,abs_loading
with_ttl,1,1,dwin,0.246960,0.246960
with_ttl,1,2,swin,0.244079,0.244079
with_ttl,1,3,sjit,0.240538,0.240538
with_ttl,1,4,djit,0.232278,0.232278
with_ttl,1,5,rate,-0.228125,0.228125
with_ttl,1,6,dbytes,0.221980,0.221980
with_ttl,1,7,dpkts,0.217837,0.217837
with_ttl,1,8,sload,-0.213806,0.213806
with_ttl,1,9,dinpkt,0.208538,0.208538
with_ttl,1,10,spkts,0.201758,0.201758
with_ttl,1,11,sloss,0.198222,0.198222
with_ttl,1,12,sinpkt,0.189480,0.189480
with_ttl,1,13,dttl,0.187191,0.187191
with_ttl,1,14,sbytes,0.173293,0.173293
with_ttl,1,15,dloss,0.172707,0.172707
with_ttl,2,1,sttl,0.307456,0.307456
with_ttl,2,2,tcprtt,0.274012,0.274012
with_ttl,2,3,dload,-0.271534,0.271534
with_ttl,2,4,ct_state_ttl,0.264780,0.264780
with_ttl,2,5,dloss,-0.260572,0.260572
with_ttl,2,6,ackdat,0.257254,0.257254
with_ttl,2,7,synack,0.256561,0.256561
with_ttl,2,8,dmean,-0.250557,0.250557
with_ttl,2,9,dttl,0.242241,0.242241
with_ttl,2,10,dpkts,-0.231221,0.231221
with_ttl,2,11,sinpkt,0.229420,0.229420
with_ttl,2,12,dbytes,-0.225836,0.225836
with_ttl,2,13,dinpkt,0.204702,0.204702
with_ttl,2,14,spkts,-0.193713,0.193713
with_ttl,2,15,rate,-0.146981,0.146981
without_ttl,1,1,dwin,0.247815,0.247815
without_ttl,1,2,sjit,0.246643,0.246643
without_ttl,1,3,swin,0.245525,0.245525
without_ttl,1,4,djit,0.235002,0.235002
without_ttl,1,5,rate,-0.232765,0.232765
without_ttl,1,6,sload,-0.217026,0.217026
without_ttl,1,7,dinpkt,0.215635,0.215635
without_ttl,1,8,dbytes,0.215370,0.215370
without_ttl,1,9,dpkts,0.212292,0.212292
without_ttl,1,10,spkts,0.198811,0.198811
without_ttl,1,11,sinpkt,0.197584,0.197584
without_ttl,1,12,sloss,0.196631,0.196631
without_ttl,1,13,dttl,0.196203,0.196203
without_ttl,1,14,sbytes,0.172100,0.172100
without_ttl,1,15,dloss,0.167257,0.167257
without_ttl,2,1,dloss,0.315912,0.315912
without_ttl,2,2,dmean,0.286134,0.286134
without_ttl,2,3,tcprtt,-0.276467,0.276467
without_ttl,2,4,dpkts,0.275056,0.275056
without_ttl,2,5,dload,0.267093,0.267093
without_ttl,2,6,synack,-0.259239,0.259239
without_ttl,2,7,ackdat,-0.259150,0.259150
without_ttl,2,8,spkts,0.256778,0.256778
without_ttl,2,9,dbytes,0.249443,0.249443
without_ttl,2,10,dttl,-0.233777,0.233777
without_ttl,2,11,sinpkt,-0.231453,0.231453
without_ttl,2,12,sloss,0.201803,0.201803
without_ttl,2,13,dinpkt,-0.197533,0.197533
without_ttl,2,14,sbytes,0.190391,0.190391
without_ttl,2,15,rate,0.154026,0.154026
