feature,dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,response_body_len,sttl,dttl,swin,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
ackdat,0.358868,0.122565,0.116126,0.157392,0.136448,-0.559689,-0.487168,-0.029812,0.201687,0.001681,0.572950,0.607245,0.596053,0.426880,0.054872,0.283334,0.743479,0.427243,0.432870,0.932464,0.757580,1.000000,0.093790,-0.098919,0.070972,-0.227436,0.170757,-0.235220,-0.150390,-0.128065,-0.167671,0.015204,0.139926,-0.197388,-0.253565,-0.047458
ct_dst_ltm,-0.137746,-0.142204,-0.159493,-0.146195,-0.185592,0.288071,0.264522,-0.137008,-0.141845,-0.091654,-0.242001,-0.265187,-0.256002,-0.235822,-0.066347,-0.017857,-0.316548,-0.218838,-0.230507,-0.239815,-0.215203,-0.235220,-0.045612,-0.050185,-0.043381,0.596553,0.072739,1.000000,0.766415,0.643794,0.643529,0.001797,-0.066004,0.576823,0.643040,-0.026635
ct_dst_sport_ltm,-0.120971,-0.244554,-0.301214,-0.262192,-0.347335,0.326473,0.297579,-0.352404,-0.233667,-0.200132,-0.203210,-0.214446,-0.267785,-0.240435,-0.061840,0.203090,-0.203059,-0.308453,-0.305698,-0.132960,-0.121491,-0.128065,-0.083126,-0.132013,-0.033398,0.564388,0.260439,0.643794,0.823545,1.000000,0.616837,-0.026945,-0.036127,0.505154,0.580301,0.005065
ct_dst_src_ltm,-0.152910,-0.288604,-0.358094,-0.241513,-0.413409,0.364184,0.362320,-0.404160,-0.264220,-0.245420,-0.235506,-0.268776,-0.295137,-0.307800,-0.112899,0.248084,-0.254171,-0.323331,-0.343686,-0.164926,-0.142524,-0.167671,0.002777,-0.175920,-0.058971,0.863033,0.339297,0.643529,0.728321,0.616837,1.000000,-0.017608,-0.094371,0.492239,0.880755,-0.025158
ct_flw_http_mthd,0.105866,0.048107,0.094619,0.060513,0.151718,-0.221601,-0.203477,0.072897,0.030987,0.050070,0.227080,0.253595,0.257849,0.282225,0.528804,-0.055347,0.224921,0.201900,0.204559,0.135272,0.114671,0.139926,-0.008104,0.126874,0.279958,-0.151089,-0.029973,-0.066004,-0.058095,-0.036127,-0.094371,-0.040977,1.000000,-0.048082,-0.145812,-0.022419
ct_ftp_cmd,0.104864,0.112342,0.115847,0.039909,0.064125,-0.076068,-0.091713,0.021135,0.129569,0.129461,0.071381,0.080258,0.091305,0.093825,-0.041449,-0.081608,0.032313,0.083687,0.084789,0.012007,0.007596,0.015204,-0.055512,-0.053690,-0.022244,-0.080041,-0.047265,0.001797,-0.037220,-0.026945,-0.017608,1.000000,-0.040977,0.001754,-0.075352,-0.009293
ct_src_dport_ltm,-0.137391,-0.240713,-0.283576,-0.227141,-0.328623,0.324420,0.307869,-0.321946,-0.225034,-0.188578,-0.217037,-0.229003,-0.259506,-0.255387,-0.074015,0.165764,-0.229603,-0.283253,-0.279116,-0.152059,-0.135299,-0.150390,-0.041866,-0.135792,-0.039302,0.718310,0.221597,0.766415,1.000000,0.823545,0.728321,-0.037220,-0.058095,0.627993,0.719247,-0.008726
ct_src_ltm,-0.129501,-0.147521,-0.164033,-0.151475,-0.187223,0.266451,0.245087,-0.146736,-0.150985,-0.098759,-0.217984,-0.231035,-0.229661,-0.219648,-0.058810,0.015686,-0.256508,-0.200314,-0.207500,-0.201372,-0.180822,-0.197388,-0.056112,-0.057293,-0.033910,0.485429,0.089086,0.576823,0.627993,0.505154,0.492239,0.001754,-0.048082,1.000000,0.466168,-0.033329
ct_srv_dst,-0.209391,-0.202913,-0.249470,-0.200300,-0.300632,0.408085,0.385047,-0.257975,-0.209099,-0.138683,-0.321029,-0.351943,-0.353057,-0.326450,-0.157682,0.109860,-0.363272,-0.301873,-0.321201,-0.252881,-0.221801,-0.253565,-0.054464,-0.077152,-0.086688,0.913092,0.200996,0.643040,0.719247,0.580301,0.880755,-0.075352,-0.145812,0.466168,1.000000,-0.032252
ct_srv_src,-0.198949,-0.189823,-0.241585,-0.189522,-0.293488,0.389825,0.369693,-0.258557,-0.196486,-0.134816,-0.302687,-0.328180,-0.330882,-0.308872,-0.166738,0.132318,-0.335539,-0.279681,-0.298836,-0.224940,-0.195544,-0.227436,-0.051281,-0.076412,-0.086213,1.000000,0.206833,0.596553,0.718310,0.564388,0.863033,-0.080041,-0.151089,0.485429,0.913092,-0.036837
