feature,dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,response_body_len,sttl,dttl,swin,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
ackdat,0.758088,0.464827,0.449416,0.392819,0.406258,-0.753941,-0.705671,0.008244,0.514917,0.458789,0.770354,0.857370,0.826177,0.752973,0.169134,0.271868,0.896395,0.791439,0.801915,0.979783,0.950898,1.000000,-0.009664,0.207315,0.286987,-0.338781,0.034282,-0.456396,-0.285262,-0.314491,-0.306253,0.051530,0.287408,-0.402107,-0.402983,-0.087905
ct_dst_ltm,-0.360618,-0.091817,-0.056093,-0.084939,-0.033377,0.394986,0.367844,0.171528,-0.100048,-0.063554,-0.376902,-0.393914,-0.365114,-0.317384,-0.102063,-0.346346,-0.482236,-0.244203,-0.254594,-0.453502,-0.450000,-0.456396,-0.027873,0.049563,-0.196588,0.464746,-0.239263,1.000000,0.460513,0.317856,0.503746,0.040957,-0.194930,0.595158,0.577494,-0.025643
ct_dst_sport_ltm,-0.330900,-0.356249,-0.395283,-0.357022,-0.396694,0.293797,0.280826,-0.405874,-0.341565,-0.357219,-0.277096,-0.350975,-0.302587,-0.322792,-0.078810,0.257047,-0.383291,-0.410838,-0.413956,-0.312457,-0.311895,-0.314491,-0.057155,-0.396016,-0.109047,0.304038,0.409666,0.317856,0.599767,1.000000,0.399535,-0.043157,-0.103181,0.297538,0.324098,0.102158
ct_dst_src_ltm,-0.340474,-0.277701,-0.316609,-0.238147,-0.319598,0.302822,0.300564,-0.235645,-0.251759,-0.283888,-0.289565,-0.313058,-0.278609,-0.318125,-0.187667,0.116774,-0.362781,-0.282833,-0.298319,-0.294446,-0.287191,-0.306253,-0.017549,-0.300132,-0.267796,0.662426,0.183891,0.503746,0.540709,0.399535,1.000000,0.034982,-0.265386,0.435959,0.701132,-0.029115
ct_flw_http_mthd,0.263445,0.064971,0.124381,0.111382,0.201124,-0.267039,-0.266599,0.075164,0.040021,0.136137,0.302613,0.291005,0.337626,0.370102,0.764535,0.008413,0.305794,0.280218,0.283899,0.269661,0.266385,0.287408,0.155928,0.223073,0.999387,-0.347736,-0.011049,-0.194930,-0.116347,-0.103181,-0.265386,-0.057614,1.000000,-0.185680,-0.344931,-0.031114
ct_ftp_cmd,0.132483,0.141001,0.146140,0.072074,0.091594,-0.070816,-0.104887,0.009587,0.164992,0.157032,0.078593,0.079943,0.087611,0.083500,-0.044043,-0.064159,0.046145,0.084786,0.085900,0.046251,0.045290,0.051530,-0.159742,-0.011544,-0.057640,-0.146386,-0.048594,0.040957,-0.069894,-0.043157,0.034982,1.000000,-0.057614,0.027691,-0.137743,-0.009414
ct_src_dport_ltm,-0.319545,-0.329005,-0.353185,-0.286180,-0.367384,0.264814,0.260862,-0.302059,-0.305898,-0.318665,-0.268225,-0.319029,-0.265002,-0.315044,-0.078626,0.179308,-0.323747,-0.331387,-0.328689,-0.280852,-0.275644,-0.285262,-0.000984,-0.321197,-0.119760,0.495707,0.289893,0.460513,1.000000,0.599767,0.540709,-0.069894,-0.116347,0.465617,0.471779,0.039610
ct_src_ltm,-0.342497,-0.100485,-0.070259,-0.093528,-0.053040,0.367465,0.347737,0.121052,-0.108738,-0.072149,-0.350069,-0.358769,-0.339722,-0.304886,-0.106145,-0.262868,-0.435895,-0.231914,-0.239928,-0.398955,-0.396036,-0.402107,-0.030156,0.014174,-0.187070,0.492336,-0.167832,0.595158,0.465617,0.297538,0.435959,0.027691,-0.185680,1.000000,0.450091,-0.044975
ct_srv_dst,-0.432669,-0.146763,-0.165605,-0.144531,-0.161247,0.426676,0.409243,0.010481,-0.148436,-0.154042,-0.406983,-0.403064,-0.401290,-0.361823,-0.244056,-0.102161,-0.461375,-0.269709,-0.283896,-0.382255,-0.373647,-0.402983,-0.070803,-0.098039,-0.346832,0.813288,-0.044559,0.577494,0.471779,0.324098,0.701132,-0.137743,-0.344931,0.450091,1.000000,-0.041280
ct_srv_src,-0.391091,-0.131579,-0.160169,-0.130788,-0.161916,0.382609,0.372762,-0.029159,-0.131254,-0.150604,-0.361689,-0.349283,-0.353185,-0.321542,-0.257488,-0.033953,-0.407158,-0.234949,-0.249166,-0.317435,-0.309904,-0.338781,-0.076722,-0.122523,-0.349612,1.000000,-0.001207,0.464746,0.495707,0.304038,0.662426,-0.146386,-0.347736,0.492336,0.813288,-0.052736
ct_state_ttl,-0.124825,-0.478672,-0.607614,-0.372736,-0.636006,0.025160,0.064417,-0.874703,-0.435247,-0.505313,-0.003470,-0.149687,-0.047265,-0.203598,-0.070579,0.825617,-0.060904,-0.325806,-0.345814,0.036153,0.034748,0.034282,0.032092,-0.745016,-0.011754,-0.001207,1.000000,-0.239263,0.289893,0.409666,0.183891,-0.048594,-0.011049,-0.167832,-0.044559,0.103592
dbytes,0.520634,0.852264,0.968488,0.703509,1.000000,-0.264485,-0.311062,0.742160,0.809888,0.946375,0.361345,0.417646,0.442591,0.617195,0.309202,-0.556635,0.369674,0.742920,0.755641,0.401821,0.400837,0.406258,-0.084632,0.877418,0.201369,-0.161916,-0.636006,-0.033377,-0.367384,-0.396694,-0.319598,0.091594,0.201124,-0.053040,-0.161247,-0.100233
dinpkt,0.837720,0.440950,0.447049,0.357888,0.417646,-0.859451,-0.797758,0.028424,0.470369,0.399448,0.851544,1.000000,0.901180,0.863888,0.186066,0.173274,0.862163,0.737207,0.749947,0.860337,0.855320,0.857370,0.009518,0.243728,0.290695,-0.349283,-0.149687,-0.393914,-0.319029,-0.350975,-0.313058,0.079943,0.291005,-0.358769,-0.403064,-0.100127
