variant,feature,r_squared,vif,status
with_ttl,ackdat,1.000000,inf,perfect_collinearity
with_ttl,ct_dst_ltm,0.675178,3.078610,ok
with_ttl,ct_dst_sport_ltm,0.717624,3.541381,ok
with_ttl,ct_dst_src_ltm,0.857806,7.032655,ok
with_ttl,ct_flw_http_mthd,0.342980,1.522024,ok
with_ttl,ct_ftp_cmd,0.189483,1.233780,ok
with_ttl,ct_src_dport_ltm,0.846251,6.504086,ok
with_ttl,ct_src_ltm,0.440757,1.788133,ok
with_ttl,ct_srv_dst,0.882584,8.516692,ok
with_ttl,ct_srv_src,0.865937,7.459192,ok
with_ttl,ct_state_ttl,0.933777,15.100604,ok
with_ttl,dbytes,0.996658,299.232205,ok
with_ttl,dinpkt,0.967159,30.450008,ok
with_ttl,djit,0.920510,12.580267,ok
with_ttl,dload,0.985643,69.654625,ok
with_ttl,dloss,0.968783,32.033525,ok
with_ttl,dmean,0.949634,19.854528,ok
with_ttl,dpkts,0.992021,125.336006,ok
with_ttl,dttl,0.926526,13.610193,ok
with_ttl,dur,0.800304,5.007621,ok
with_ttl,dwin,0.991818,122.218844,ok
with_ttl,is_sm_ips_ports,0.781919,4.585455,ok
with_ttl,rate,0.997272,366.634453,ok
with_ttl,response_body_len,0.567239,2.310743,ok
with_ttl,sbytes,0.989921,99.221083,ok
with_ttl,sinpkt,0.971013,34.497800,ok
with_ttl,sjit,0.970609,34.024282,ok
with_ttl,sload,0.996842,316.672350,ok
with_ttl,sloss,0.946606,18.728723,ok
with_ttl,smean,0.911907,11.351593,ok
with_ttl,spkts,0.981147,53.042444,ok
with_ttl,sttl,0.847460,6.555674,ok
with_ttl,swin,0.990850,109.294762,ok
with_ttl,synack,1.000000,inf,perfect_collinearity
with_ttl,tcprtt,1.000000,inf,perfect_collinearity
with_ttl,trans_depth,0.109057,1.122406,ok
without_ttl,ackdat,1.000000,inf,perfect_collinearity
without_ttl,ct_dst_ltm,0.674961,3.076554,ok
without_ttl,ct_dst_sport_ltm,0.717473,3.539490,ok
without_ttl,ct_dst_src_ltm,0.857747,7.029731,ok
without_ttl,ct_flw_http_mthd,0.340483,1.516261,ok
without_ttl,ct_ftp_cmd,0.179483,1.218745,ok
without_ttl,ct_src_dport_ltm,0.846162,6.500343,ok
without_ttl,ct_src_ltm,0.440104,1.786047,ok
without_ttl,ct_srv_dst,0.882562,8.515150,ok
without_ttl,ct_srv_src,0.865786,7.450804,ok
without_ttl,dbytes,0.996031,251.950340,ok
without_ttl,dinpkt,0.955985,22.719465,ok
without_ttl,djit,0.920286,12.544925,ok
without_ttl,dload,0.983029,58.922769,ok
without_ttl,dloss,0.967522,30.789938,ok
without_ttl,dmean,0.942336,17.341865,ok
without_ttl,dpkts,0.990836,109.120168,ok
without_ttl,dttl,0.846294,6.505934,ok
without_ttl,dur,0.799431,4.985804,ok
without_ttl,dwin,0.984508,64.550252,ok
without_ttl,is_sm_ips_ports,0.779288,4.530788,ok
without_ttl,rate,0.997203,357.571376,ok
without_ttl,response_body_len,0.548744,2.216039,ok
without_ttl,sbytes,0.989843,98.452028,ok
without_ttl,sinpkt,0.969085,32.346889,ok
without_ttl,sjit,0.970264,33.629314,ok
without_ttl,sload,0.996793,311.808828,ok
without_ttl,sloss,0.945343,18.295875,ok
without_ttl,smean,0.910689,11.196880,ok
without_ttl,spkts,0.980294,50.745366,ok
without_ttl,swin,0.980696,51.802333,ok
without_ttl,synack,1.000000,inf,perfect_collinearity
without_ttl,tcprtt,1.000000,inf,perfect_collinearity
without_ttl,trans_depth,0.109018,1.122358,ok
